City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nagqu,31.5,92.0,-5.49,33,100,7.49,CN,1736750114
1,luderitz,-26.6481,15.1594,21.44,54,0,9.83,NA,1736750115
2,kirakira,-10.4544,161.9205,28.07,80,98,1.46,SB,1736750117
3,haiku-pauwela,20.9219,-156.3051,23.36,86,40,4.92,US,1736750118
4,port-aux-francais,-49.35,70.2167,5.31,78,49,19.8,TF,1736750116
5,mhango,-3.2833,32.85,24.48,62,10,0.66,TZ,1736750120
6,saipan,15.1355,145.701,31.39,78,40,6.17,MP,1736750122
7,aqsay,51.1678,52.995,-6.34,89,98,3.23,KZ,1736750123
8,loralai,30.3705,68.598,11.13,22,0,1.81,PK,1736750125
9,vuktyl,63.8567,57.3094,-14.54,98,100,1.23,RU,1736750126
10,isafjordur,66.0755,-23.124,-1.35,91,100,2.93,IS,1736750127
11,uvira,-3.4067,29.1458,26.32,66,91,1.6,CD,1736750130
12,prince rupert,54.3161,-130.3201,5.83,92,100,13.38,CA,1736750131
13,puerto natales,-51.7236,-72.4875,6.72,71,25,7.2,CL,1736750091
14,margaret river,-33.95,115.0667,20.54,63,0,4.96,AU,1736750134
15,grytviken,-54.2811,-36.5092,5.55,89,100,8.77,GS,1736750135
16,turgen,43.4006,77.5933,1.51,89,4,0.86,KZ,1736750137
17,sandnessjoen,66.0217,12.6316,3.06,87,75,14.92,NO,1736750138
18,utrik,11.2278,169.8474,26.52,80,100,10.19,MH,1736750139
19,tolanaro,-25.0319,46.9987,34.04,40,0,6.17,MG,1736750140
20,adamstown,-25.066,-130.1015,24.41,89,99,9.4,PN,1736750142
21,kuanda,56.3161,116.0806,-24.52,97,52,0.79,RU,1736750143
22,kodiak,57.79,-152.4072,5.73,65,100,5.66,US,1736750146
23,ust-nera,64.5667,143.2,-33.92,98,100,1.79,RU,1736750147
24,lihue,21.9789,-159.3672,22.77,83,75,5.66,US,1736750148
25,afaahiti,-17.75,-149.2833,26.3,83,100,12.44,PF,1736750150
26,fray luis a. beltran,-32.7912,-60.7282,21.98,61,0,4.12,AR,1736750152
